tournament_id,season_id,player_name,player_id,team_name,team_id,goals,assists,rating,expectedGoals,expectedAssists,totalShots,shotsOnTarget,keyPasses,successfulDribbles,tackles,yellowCards,redCards,minutesPlayed,appearances,_metric_order,_league_id,_season,_source,_scraped_at
45,62629,Tobias Schützenauer,355480,LASK,2058,0,0,8.0,,,0,0,0,0,0,0,0,180,2,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Dominik Fitz,837084,FK Austria Wien,2203,12,13,7.8,,,66,30,104,16,34,11,0,2628,30,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Amin Gröller,1906267,SK Rapid Wien,2055,0,0,7.8,,,0,0,0,1,0,0,0,90,1,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Oscar Gloukh,1155158,Red Bull Salzburg,2046,10,5,7.53,,,69,30,66,79,20,0,0,1940,26,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Hendry Blank,1140597,Red Bull Salzburg,2046,0,0,7.52,,,3,1,3,3,21,1,0,483,6,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Robert Žulj,121613,LASK,2058,7,7,7.48,,,49,22,58,15,25,1,0,2001,27,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Dejan Zukić,892635,Wolfsberger AC,2076,10,8,7.48,,,47,23,74,33,25,5,0,2340,31,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Dorgeles Nene,1102788,Red Bull Salzburg,2046,13,4,7.39,,,69,25,38,48,35,1,0,2068,30,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Mika Biereth,1083007,SK Sturm Graz,2051,11,4,7.38,,,36,25,12,7,4,2,0,1272,16,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Otar Kiteishvili,797994,SK Sturm Graz,2051,12,3,7.36,,,66,21,38,31,62,3,0,2652,32,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Aleksa Terzić,876860,Red Bull Salzburg,2046,0,5,7.34,,,17,3,48,19,29,1,0,1638,22,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Jamie Lawrence,997206,WSG Tirol,5405,3,0,7.33,,,24,7,7,6,56,7,0,2520,28,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,John Mellberg,1424607,Red Bull Salzburg,2046,0,0,7.33,,,1,0,2,2,10,0,0,288,5,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Jannik Schuster,1474198,Red Bull Salzburg,2046,0,0,7.3,,,1,0,1,1,0,0,0,13,1,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Raphael Sallinger,275801,TSV Hartberg,2075,0,0,7.3,,,0,0,2,0,0,3,0,2790,31,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Chibuike Nwaiwu,1481134,Wolfsberger AC,2076,2,1,7.28,,,22,5,7,22,70,6,1,2015,25,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Florian Wiegele,869476,Grazer AK 1902,2052,0,0,7.27,,,0,0,3,0,0,0,0,1350,15,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Tomi Horvat,906698,SK Sturm Graz,2051,4,8,7.25,,,50,17,81,42,40,1,0,2010,32,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Tobias Lawal,990025,LASK,2058,0,0,7.22,,,0,0,0,0,0,0,0,1584,18,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Samson Baidoo,1099117,Red Bull Salzburg,2046,0,0,7.21,,,14,1,10,12,63,3,1,2610,29,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Matthias Seidl,1006268,SK Rapid Wien,2055,2,6,7.21,,,49,12,83,7,38,0,0,2515,32,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Dominik Baumgartner,282087,Wolfsberger AC,2076,2,1,7.2,,,28,8,8,8,75,8,0,2408,28,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Nicolas Schmid,799389,FC Blau Weiss Linz,2113,0,1,7.2,,,0,0,1,0,1,0,0,180,2,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Jonathan Scherzer,237066,Wolfsberger AC,2076,0,0,7.2,,,0,0,2,1,3,1,0,180,2,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Ammar Helac,886066,SCR Altach,4856,0,0,7.2,,,0,0,1,0,0,0,0,270,3,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Nicolás Capaldo,973564,Red Bull Salzburg,2046,4,1,7.19,,,32,7,16,23,50,5,0,1758,23,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Adis Jašić,1000186,Wolfsberger AC,2076,2,3,7.19,,,25,9,22,24,82,5,0,1962,24,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Kamil Piątkowski,942335,Red Bull Salzburg,2046,0,0,7.19,,,3,1,5,1,16,2,0,1062,14,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Jusuf Gazibegović,907530,SK Sturm Graz,2051,1,1,7.18,,,14,2,19,18,27,6,0,1192,14,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Jonas Auer,978405,SK Rapid Wien,2055,2,1,7.18,,,9,3,36,16,49,4,0,1971,25,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Philipp Ziereis,142852,LASK,2058,1,1,7.17,,,13,4,3,6,35,6,0,2180,26,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Hrvoje Smolčić,974582,LASK,2058,3,0,7.17,,,17,5,4,7,23,4,0,1574,21,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Aleksandar Dragović,37313,FK Austria Wien,2203,0,0,7.16,,,9,2,5,0,20,8,0,2511,29,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Ronivaldo,314304,FC Blau Weiss Linz,2113,14,1,7.15,,,86,33,16,11,22,6,0,2408,31,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Mamadou Sangare,1064697,SK Rapid Wien,2055,2,3,7.15,,,41,6,21,45,79,9,1,2050,27,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Modou Kéba Cissé,1944705,LASK,2058,1,0,7.14,,,5,2,1,0,22,4,0,665,10,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Sascha Horvath,282093,LASK,2058,2,1,7.14,,,21,8,35,37,64,1,1,2190,28,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Leonardo Lukačević,843702,SCR Altach,4856,0,2,7.14,,,9,1,35,21,44,3,0,1462,21,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Matthäus Taferner,901905,WSG Tirol,5405,1,3,7.13,,,22,9,40,30,75,9,1,2360,27,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Maurits Kjaergaard,987818,Red Bull Salzburg,2046,0,2,7.13,,,7,0,10,3,5,0,0,356,6,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Nenad Cvetković,878471,SK Rapid Wien,2055,2,0,7.13,,,17,4,1,4,31,4,1,1600,20,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Jon Gorenc Stanković,280565,SK Sturm Graz,2051,1,4,7.13,,,26,7,16,9,65,4,0,2049,26,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Moses Usor,1215061,LASK,2058,0,1,7.13,,,15,6,8,21,16,0,0,656,8,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Ismaila Coulibaly,873632,LASK,2058,1,1,7.12,,,15,6,10,9,24,3,0,672,10,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Maximilian Hofmann,190823,SK Rapid Wien,2055,0,0,7.12,,,1,0,1,0,6,1,0,296,8,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Philipp Wiesinger,336377,FK Austria Wien,2203,1,0,7.12,,,10,3,5,5,46,6,0,1636,22,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Radek Vitek,1101989,FC Blau Weiss Linz,2113,0,0,7.12,,,0,0,1,0,1,2,0,2340,26,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Isak Jansson,962064,SK Rapid Wien,2055,7,2,7.11,,,33,15,25,15,25,1,0,1558,22,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Reinhold Ranftl,126858,FK Austria Wien,2203,2,3,7.11,,,20,4,38,31,66,4,1,2699,30,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Manuel Maranda,827461,FC Blau Weiss Linz,2113,0,0,7.11,,,9,3,6,4,45,2,0,2880,32,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Christopher Wernitznig,141304,Austria Klagenfurt,43254,4,4,7.1,,,39,13,47,17,56,5,0,2311,30,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Ignace Van der Brempt,989186,Red Bull Salzburg,2046,0,0,7.1,,,1,0,0,0,3,0,0,68,1,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Luka Marić,1006952,TSV Hartberg,2075,0,0,7.1,,,0,0,0,0,1,1,0,90,1,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Nicolas Wimmer,843630,Wolfsberger AC,2076,0,1,7.1,,,11,2,12,7,53,2,1,2297,27,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Samuel Sahin-Radlinger,66340,FK Austria Wien,2203,0,0,7.09,,,0,0,0,1,0,1,0,2880,32,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Mads Bidstrup,918429,Red Bull Salzburg,2046,1,1,7.09,,,16,6,19,24,72,5,0,2233,30,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Alessandro Schöpf,147776,Wolfsberger AC,2076,2,0,7.09,,,11,5,7,7,17,3,0,450,8,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,William Bøving,1021075,SK Sturm Graz,2051,11,5,7.08,,,50,17,40,26,31,0,1,2183,30,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Maximilian Entrup,823156,LASK,2058,12,2,7.08,,,57,22,16,12,14,3,0,1791,26,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
45,62629,Petar Ratkov,1101942,Red Bull Salzburg,2046,3,6,7.08,,,40,11,22,4,4,1,0,784,22,rating,AUT,2024-2025,datafc_sofascore,2026-08-09T07:34:26.589565
